raw_text,aspectTerms
But the staff was so horrible to us.,"[{'term': 'staff', 'polarity': 'negative'}]"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]"
Where Gabriela personaly greets you and recommends you what to eat.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Not only was the food outstanding, but the little 'perks' were great.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'perks', 'polarity': 'positive'}]"
It is very overpriced and not very tasty.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[{'term': 'orrechiete with sausage and chicken', 'polarity': 'positive'}, {'term': 'waiters', 'polarity': 'positive'}, {'term': 'meats', 'polarity': 'neutral'}, {'term': 'dish', 'polarity': 'neutral'}]"
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[{'term': 'Bagels', 'polarity': 'positive'}]"
Nevertheless the food itself is pretty good.,"[{'term': 'food', 'polarity': 'positive'}]"
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[{'term': 'toast', 'polarity': 'negative'}, {'term': 'mayonnaise', 'polarity': 'negative'}, {'term': 'bacon', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'neutral'}, {'term': 'ingredients', 'polarity': 'negative'}, {'term': 'plate', 'polarity': 'neutral'}, {'term': 'omelet', 'polarity': 'neutral'}]"
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[{'term': 'drinks', 'polarity': 'neutral'}, {'term': 'check', 'polarity': 'neutral'}]"
The design and atmosphere is just as good.,"[{'term': 'design', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
He has visited Thailand and is quite expert on the cuisine.,"[{'term': 'cuisine', 'polarity': 'positive'}]"
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The pizza is the best if you like thin crusted pizza.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'thin crusted pizza', 'polarity': 'neutral'}]"
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"He can't help, they're bought up so fast.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"i have eaten here a handful of times, for no reason besides sheer convenience.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Obviously run by folks who know a pie.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We were very disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I really liked this place.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I will be going back very soon.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"All the money went into the interior decoration, none of it went to the chefs.","[{'term': 'interior decoration', 'polarity': 'positive'}, {'term': 'chefs', 'polarity': 'negative'}]"
